"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","7.99",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","GPU Speed Of Light Throughput","SM Frequency","Ghz","1.89",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","3330003",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","GPU Speed Of Light Throughput","Memory Throughput","%","27.43",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Throughput","%","10.40",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","GPU Speed Of Light Throughput","Duration","ms","1.76",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","28.53",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","GPU Speed Of Light Throughput","L2 Cache Throughput","%","18.26",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","GPU Speed Of Light Throughput","SM Active Cycles","cycle","3162323.08",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","43.17",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","SpeedOfLight","","","","SOLBottleneck","OPT","This workload exhibits low compute throughput and memory bandwidth utilization relative to the peak performance of this device. Achieved compute throughput and/or memory bandwidth below 60.0% of peak typically indicate latency issues. Look at Scheduler Statistics and Warp State Statistics for potential reasons.","",""
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","Memory Workload Analysis","Local Memory Spilling Requests","","0",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","Memory Workload Analysis","Local Memory Spilling Request Overhead","%","0",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","Memory Workload Analysis","L2 Sector Promotion Misses","%","0",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","Memory Workload Analysis","Shared Memory Spilling Requests","","0",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","Memory Workload Analysis","Shared Memory Spilling Request Overhead","%","0",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","Memory Workload Analysis","Memory Throughput","Gbyte/s","26.61",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","Memory Workload Analysis","Mem Busy","%","27.43",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","Memory Workload Analysis","Max Bandwidth","%","25.80",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","Memory Workload Analysis","L1/TEX Hit Rate","%","0",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","Memory Workload Analysis","L2 Persisting Size","Mbyte","6.29",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","Memory Workload Analysis","L2 Compression Success Rate","%","0",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","Memory Workload Analysis","L2 Compression Ratio","","0",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","Memory Workload Analysis","L2 Compression Input Sectors","sector","0",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","Memory Workload Analysis","L2 Hit Rate","%","96.01",
"0","611173","python3.12","127.0.0.1","attn_fwd_kernel","1","7","(128, 1, 1)","(64, 16, 1)","0","8.9","Memory Workload Analysis","Mem Pipes Busy","%","19.58",
