"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","194308","python3.12","127.0.0.1","triton_red_fused_div_exp_max_sub_sum_0","1","7","(512, 1, 1)","(4096, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","7.99",
"0","194308","python3.12","127.0.0.1","triton_red_fused_div_exp_max_sub_sum_0","1","7","(512, 1, 1)","(4096, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Frequency","Ghz","1.88",
"0","194308","python3.12","127.0.0.1","triton_red_fused_div_exp_max_sub_sum_0","1","7","(512, 1, 1)","(4096, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","920279",
"0","194308","python3.12","127.0.0.1","triton_red_fused_div_exp_max_sub_sum_0","1","7","(512, 1, 1)","(4096, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Memory Throughput","%","91.37",
"0","194308","python3.12","127.0.0.1","triton_red_fused_div_exp_max_sub_sum_0","1","7","(512, 1, 1)","(4096, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Throughput","%","91.37",
"0","194308","python3.12","127.0.0.1","triton_red_fused_div_exp_max_sub_sum_0","1","7","(512, 1, 1)","(4096, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Duration","us","488",
"0","194308","python3.12","127.0.0.1","triton_red_fused_div_exp_max_sub_sum_0","1","7","(512, 1, 1)","(4096, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","23.33",
"0","194308","python3.12","127.0.0.1","triton_red_fused_div_exp_max_sub_sum_0","1","7","(512, 1, 1)","(4096, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L2 Cache Throughput","%","39.07",
"0","194308","python3.12","127.0.0.1","triton_red_fused_div_exp_max_sub_sum_0","1","7","(512, 1, 1)","(4096, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Active Cycles","cycle","983210.71",
"0","194308","python3.12","127.0.0.1","triton_red_fused_div_exp_max_sub_sum_0","1","7","(512, 1, 1)","(4096, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","32.06",
